hotel_code,business_date,total_rooms,current_rooms_sold,current_occupancy,current_adr,current_lead_time,pickup_rate,event_weight,forecast_occupancy,forecast_rooms,forecast_adr,forecast_revpar,has_event,event_count,total_visitors,event_names
hotel_b,2025-07-20,238,89.0,0.3739,295.88,20,0.3013012897466679,0.03390756302521008,0.709108852771878,168.8,295.88,209.81,True,5,8070.0,Artist Conversation: The Great Muse-3 artists working with The Great Marsh | Director's Critical Skills Conference | Sowa Open Market - July
hotel_a,2025-08-11,315,148.0,0.4698,261.85,42,0.2895604395604396,0.0,0.7593604395604396,239.2,261.85,198.84,False,0,0.0,
hotel_a,2025-08-12,315,142.0,0.4508,264.56,43,0.29331162664496,0.0,0.74411162664496,234.4,264.56,196.86,False,0,0.0,
hotel_a,2025-07-03,315,265.0,0.8413,222.53,3,0.03836560265131694,0.0,0.879665602651317,277.1,222.53,195.75,False,0,0.0,
hotel_a,2025-07-26,315,148.0,0.4698,266.79,26,0.2271717993940216,0.031746031746031744,0.7287178311400534,229.5,266.79,194.41,True,1,10000.0,Skate Venice
hotel_a,2025-08-02,315,138.0,0.4381,279.33,33,0.2557997557997558,0.0,0.6938997557997557,218.6,279.33,193.83,False,0,0.0,
hotel_a,2025-09-20,315,121.0,0.3841,256.76,82,0.3564713064713064,0.009841269841269842,0.7504125763125763,236.4,256.76,192.68,True,1,3100.0,"Civil Society Vintage  Antique, Vintage, Designer & Fine Jewelry Pop-up"
hotel_a,2025-08-04,315,140.0,0.4444,272.09,35,0.26330212996879665,0.0,0.7077021299687967,222.9,272.09,192.56,False,0,0.0,
hotel_a,2025-07-10,315,195.0,0.619,257.69,10,0.11820454677597533,0.008888888888888889,0.7460934356648642,235.0,257.69,192.26,True,3,2800.0,SMC Conference | IBFutureFest – Where Insurance & Innovation Meet the Future | VIP Yachtley Crew Concert & Benefit
hotel_a,2025-09-19,315,120.0,0.381,260.38,81,0.35532153032153024,0.0,0.7363215303215302,231.9,260.38,191.72,False,0,0.0,
hotel_a,2025-08-01,315,135.0,0.4286,275.54,32,0.25204856871523534,0.0,0.6806485687152353,214.4,275.54,187.55,False,0,0.0,
hotel_b,2025-08-07,238,43.0,0.1807,282.61,38,0.4400452488687783,0.036890756302521005,0.6576360051712994,156.5,282.61,185.85,True,8,8780.0,LEAP HR: Life Sciences | The Future of Trustworthy AI | The Annual Chemistry and Pharmacology of Drug Abuse Conference
hotel_a,2025-08-05,315,128.0,0.4063,275.59,36,0.26705331705331703,0.0,0.673353317053317,212.1,275.59,185.57,False,0,0.0,
hotel_a,2025-08-13,315,129.0,0.4095,261.62,44,0.2970628137294804,0.00031746031746031746,0.7068802740469406,222.7,261.62,184.93,True,1,100.0,"Unlikely Collaborators Spark Salon with Scott Barry Kaufman, PhD"
hotel_b,2025-07-01,238,136.0,0.5714,263.39,1,0.01662203342875612,0.10483193277310925,0.6928539662018653,164.9,263.39,182.49,True,10,24950.0,Boma International Annual Conference & Expo | BOMA 2025 / BOOTH #1521 | Tanabata & Yukata
hotel_b,2025-08-10,238,44.0,0.1849,229.85,41,0.4565287653522948,0.15,0.7914287653522948,188.4,229.85,181.91,True,10,59890.0,Enterprise AI Summit Boston 2025 - Unlocking $3 Trillion | Gyotaku  - Japanese printmaking | AAS/AIAA Astrodynamics Specialist Conference
hotel_a,2025-08-08,315,127.0,0.4032,263.11,39,0.27830687830687834,0.0,0.6815068783068783,214.7,263.11,179.31,False,0,0.0,
hotel_a,2025-07-31,315,135.0,0.4286,262.51,31,0.24829738163071494,0.0002222222222222222,0.6771196038529371,213.3,262.51,177.75,True,1,70.0,A Talk Through Pier History
hotel_a,2025-07-09,315,179.0,0.5683,259.59,9,0.10864294435723007,0.0009523809523809524,0.677895325309611,213.5,259.59,175.97,True,1,300.0,SMC Conference
hotel_a,2025-07-18,315,146.0,0.4635,269.76,18,0.18445258445258444,0.0,0.6479525844525844,204.1,269.76,174.79,False,0,0.0,
hotel_a,2025-08-23,315,66.0,0.2095,257.4,54,0.319031339031339,0.15,0.678531339031339,213.7,257.4,174.65,True,1,55000.0,Summer Fest Venice Beach
hotel_a,2025-08-14,315,123.0,0.3905,252.4,45,0.30081400081400084,0.0,0.6913140008140009,217.8,252.4,174.49,False,0,0.0,
hotel_a,2025-08-09,315,116.0,0.3683,266.57,40,0.2820580653913987,0.0,0.6503580653913987,204.9,266.57,173.37,False,0,0.0,
hotel_a,2025-08-07,315,125.0,0.3968,257.69,38,0.2745556912223579,0.0,0.6713556912223579,211.5,257.69,173.0,False,0,0.0,
hotel_b,2025-07-05,238,123.0,0.5168,248.2,5,0.0831101671437806,0.0953781512605042,0.6952883184042848,165.5,248.2,172.57,True,3,22700.0,The Firefighters vs Savannah Bananas | Magnet Technology Conference | OCON Conference
hotel_a,2025-08-15,315,110.0,0.3492,263.56,46,0.3028381495048162,0.0,0.6520381495048162,205.4,263.56,171.85,False,0,0.0,
hotel_a,2025-07-19,315,134.0,0.4254,277.79,19,0.19145299145299144,0.0015873015873015873,0.618440293040293,194.8,277.79,171.8,True,1,500.0,Santa Monica Psychedelic Summit at MUD\WTR
hotel_a,2025-07-11,315,171.0,0.5429,251.02,11,0.12776614919472062,0.008222222222222221,0.6788883714169429,213.8,251.02,170.41,True,3,2590.0,IBFutureFest – Where Insurance & Innovation Meet the Future | SMC Conference | Unlikely Collaborators Spark Salon with Harris III
hotel_a,2025-07-27,315,140.0,0.4444,251.72,27,0.23151539818206485,0.0,0.6759153981820649,212.9,251.72,170.14,False,0,0.0,
hotel_a,2025-08-24,315,59.0,0.1873,258.15,55,0.32105548772215436,0.15,0.6583554877221544,207.4,258.15,169.95,True,1,55000.0,Summer Fest Venice Beach
hotel_a,2025-07-25,315,137.0,0.4349,258.27,25,0.22282820060597838,0.0,0.6577282006059784,207.2,258.27,169.87,False,0,0.0,
hotel_a,2025-08-03,315,121.0,0.3841,262.89,34,0.2595509428842762,0.0,0.6436509428842763,202.8,262.89,169.21,False,0,0.0,
hotel_a,2025-08-16,315,103.0,0.327,267.62,47,0.30486229819563154,0.0,0.6318622981956316,199.0,267.62,169.1,False,0,0.0,
hotel_a,2025-07-21,315,149.0,0.473,247.62,21,0.20545380545380545,0.0,0.6784538054538054,213.7,247.62,168.0,False,0,0.0,
